Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,Inp_IchimokuFilter_Enabled,InpRange2_ATR_Period,InpRange2_ATR_Multiplier,InpRange2_SL_ATR_Period,InpRange2_SL_ATR_Multiplier,InpRange2_Trailing_ATR_Period,InpRange2_Trailing_ATR_Multiplier,InpRange2_RR_Ratio,InpRange2_PartialClosePercent
2501,1233.00,5214.77,8.60523,1.22192,3.70462,1.91675,1233,19.90,606,true,26,2.76,43,1.5,119,3,4.05,51
2915,1231.00,3442.43,5.04755,1.15937,2.48253,1.86620,1231,16.89,682,true,19,2.76,57,1.8,129,2.5,1.8,16
2485,1221.00,3711.12,5.90943,1.19803,2.74432,2.04263,1221,17.10,628,true,11,2.76,32,1.65,103,2.3,1.8,6
2412,1219.00,5026.07,7.35881,1.21848,3.23470,2.49069,1219,18.21,683,true,30,2.88,50,1.65,30,2.5,1.8,16
2204,1219.00,5026.07,7.35881,1.21848,3.23470,2.49069,1219,18.21,683,true,30,2.88,50,1.65,78,2.5,1.8,16
2119,1219.00,5026.07,7.35881,1.21848,3.23470,2.49069,1219,18.21,683,true,30,2.88,50,1.65,55,2.5,1.8,16
1855,1218.00,4650.35,7.20985,1.21268,2.95641,2.26737,1218,18.97,645,true,26,3,130,1.65,67,2.3,2.4,11
3205,1203.00,3282.48,4.73662,1.15265,2.44020,2.15835,1203,16.33,693,true,19,2.76,20,1.65,14,1.2,1.65,46
2808,1203.00,3282.48,4.73662,1.15265,2.44020,2.15835,1203,16.33,693,true,19,2.76,22,1.65,78,1.2,1.65,46
2654,1203.00,3282.48,4.73662,1.15265,2.44020,2.15835,1203,16.33,693,true,19,2.76,97,1.65,129,1.2,1.65,46
2587,1203.00,3282.48,4.73662,1.15265,2.44020,2.15835,1203,16.33,693,true,19,2.76,25,1.65,82,1.2,1.65,46
2232,1203.00,3282.48,4.73662,1.15265,2.44020,2.15835,1203,16.33,693,true,19,2.76,20,1.65,78,1.2,1.65,46
2558,1202.00,6793.34,8.93861,1.21868,3.49123,2.56233,1202,19.14,760,false,22,2.76,62,1.65,36,2.3,2.4,11
1498,1202.00,6793.34,8.93861,1.21868,3.49123,2.56233,1202,19.14,760,false,22,2.76,20,1.65,129,2.3,2.4,11
3213,1197.00,4451.10,5.85671,1.18458,2.95894,2.14937,1197,17.28,760,false,26,3,42,1.95,107,2.3,1.8,6
2258,1193.00,4426.90,7.44017,1.21772,3.90738,1.95894,1193,17.97,595,true,35,3,23,1.65,131,3,3.6,96
2064,1193.00,4426.90,7.44017,1.21772,3.90738,1.95894,1193,17.97,595,true,35,3,23,1.65,46,3,3.6,96
2457,1189.00,6769.82,7.89944,1.17997,3.31563,2.87722,1189,17.72,857,false,104,2.88,97,1.5,42,2.2,2.1,56
3461,1187.00,5904.38,8.76021,1.23627,4.12366,2.84608,1187,20.83,674,true,26,2.76,59,1.65,136,1.2,2.4,56
2560,1187.00,5904.38,8.76021,1.23627,4.12366,2.84608,1187,20.83,674,true,26,2.76,59,1.65,78,1.2,2.4,56
2397,1187.00,5904.38,8.76021,1.23627,4.12366,2.84608,1187,20.83,674,true,26,2.76,25,1.65,56,1.2,2.4,56
2393,1187.00,5904.38,8.76021,1.23627,4.12366,2.84608,1187,20.83,674,true,26,2.76,25,1.65,82,1.2,2.4,56
2321,1187.00,5904.38,8.76021,1.23627,4.12366,2.84608,1187,20.83,674,true,26,2.76,67,1.65,103,1.2,2.4,56
2347,1177.00,8489.55,11.15578,1.26526,3.32256,2.93244,1177,21.17,761,false,37,2.88,84,1.65,97,2.3,2.4,11
2196,1176.00,7203.55,10.00493,1.29401,5.40815,3.05378,1176,20.53,720,false,13,2.76,25,1.65,56,1.7,1.95,11
2751,1175.00,5837.37,8.68656,1.23776,4.26768,2.69804,1175,20.53,672,true,26,2.76,25,1.8,38,1.7,2.4,46
2502,1172.00,5736.18,6.93613,1.15113,3.13928,2.46327,1172,17.10,827,false,104,2.88,70,1.5,128,1,2.7,26
2210,1172.00,5736.18,6.93613,1.15113,3.13928,2.46327,1172,17.10,827,false,104,2.88,97,1.5,66,1,2.7,26
2056,1172.00,5736.18,6.93613,1.15113,3.13928,2.46327,1172,17.10,827,false,104,2.88,97,1.5,42,1,2.7,26
3636,1170.00,7491.27,11.79728,1.30757,3.53848,3.17997,1170,21.50,635,true,25,3,130,1.5,128,1.7,2.7,26
2504,1169.00,8692.89,11.39304,1.21652,3.45307,2.41353,1169,25.65,763,false,104,2.88,70,1.5,128,2.9,4.5,56
1769,1169.00,8692.89,11.39304,1.21652,3.45307,2.41353,1169,25.65,763,false,104,2.88,97,1.5,42,2.9,4.5,56
2515,1162.00,5378.94,8.14991,1.20280,3.16798,2.09989,1162,16.62,660,true,50,3,62,1.65,36,3,3.6,96
3455,1160.00,4510.38,7.50479,1.21294,4.07398,1.81198,1160,18.23,601,true,27,2.76,61,1.65,129,2,4.05,66
2335,1157.00,6135.64,7.51917,1.18929,2.90413,2.65460,1157,19.67,816,false,44,3,54,1.65,128,1.7,1.95,11
2213,1156.00,5135.93,7.66557,1.19598,2.67865,2.49973,1156,18.13,670,true,33,2.76,67,1.65,101,1.7,2.4,46
1846,1156.00,5135.93,7.66557,1.19598,2.67865,2.49973,1156,18.13,670,true,33,2.76,67,1.65,37,1.7,2.4,46
2468,1155.00,5367.05,7.61284,1.20125,2.72244,2.53634,1155,19.79,705,true,30,2.76,125,1.5,128,2.5,1.8,16
2863,1153.00,5104.35,8.07650,1.23793,4.34557,2.35397,1153,19.90,632,true,26,2.88,24,1.8,18,1.3,2.7,6
