Pass	Result	Profit	Expected Payoff	Profit Factor	Recovery Factor	Sharpe Ratio	Custom	Equity DD %	Trades	Inp_Invalidation_Mode	Inp_Confirmation_Strategy	Inp_Confirmation_Timeout	Inp_PriceConfirmation_Enabled	Inp_Placement_ATR_Period	Inp_Placement_ATR_Multiplier	Inp_Placement_Percent_Value	Inp_SL_ATR_Period	Inp_SL_ATR_Multiplier	Inp_Trailing_ATR_Period	Inp_Trailing_ATR_Multiplier	Inp_RR_Ratio	Inp_PartialClosePercent	Inp_Pullback_StopBuffer_Points	Inp_BE_Buffer_Points	Inp_Trailing_MinChange_Points	Inp_BoundaryDetectionMode	Inp_IchimokuFilter_Enabled	Inp_AdaptiveEntry_Enabled	Inp_AdaptiveMode	Inp_IchimokuMode	Inp_MinCandleBodyRatio	Inp_ExplosiveCandleBodyRatio	Inp_MA_Fast_Period	Inp_MA_Slow_Period	Inp_Market_RR_Ratio	Inp_Market_PartialClosePercent	Inp_Market_BE_Buffer_Points	Inp_AdaptiveSL_Enabled	InpRange1_Enabled	InpRange1_Placement_Mode	InpRange1_SL_Strategy	InpRange1_SL_Calc_Mode	InpRange1_Trailing_Mode	InpRange1_Cleanup_Hours	InpRange1_QualityFilter	InpRange2_Enabled	InpRange2_Execution_Timeframe	InpRange2_TrendFilter_Timeframe	InpRange2_Placement_Mode	InpRange2_SL_Strategy	InpRange2_SL_Calc_Mode	InpRange2_Trailing_Mode	InpRange2_Cleanup_Hours	InpRange2_QualityFilter	InpRange3_Enabled	InpRange3_Execution_Timeframe	InpRange3_TrendFilter_Timeframe	InpRange3_Placement_Mode	InpRange3_SL_Strategy	InpRange3_SL_Calc_Mode	InpRange3_Trailing_Mode	InpRange3_Cleanup_Hours	InpRange3_QualityFilter	InpRange4_Enabled	InpRange4_Execution_Timeframe	InpRange4_TrendFilter_Timeframe	InpRange4_Placement_Mode	InpRange4_SL_Strategy	InpRange4_SL_Calc_Mode	InpRange4_Trailing_Mode	InpRange4_Cleanup_Hours	InpRange4_QualityFilter	Column1
16788	572089.67	567089.67	827.86813	1.50502	1.71248	2.00783	417	48.96	685	0	0	11	true	140	1.5	1.33	51	2.1	20	1.5	1.8	40	40	15	41	1	true	true	0	0	0.5	0.8	28	20	3	46	7	true	true	1	1	1	0	23	0	true	2	15	1	1	1	1	23	0	true	3	12	0	1	1	1	10	1	true	5	10	1	0	1	0	10	1	TRUE
16918	569938.46	564938.46	818.75139	1.50046	1.73388	2.00507	417	48.51	690	1	0	11	true	140	1.5	1.33	51	2.1	35	1.5	1.8	40	40	15	41	1	true	true	0	0	0.5	0.8	28	20	3	46	7	true	true	1	1	1	0	23	0	true	2	15	1	1	1	1	23	0	true	3	12	0	1	1	1	10	1	true	5	10	1	0	1	0	11	1	TRUE
16646	569308.38	564308.38	817.83823	1.50487	1.75585	2.00449	417	48.33	690	1	0	11	true	140	1.5	1.34	51	2.1	20	1.5	1.8	40	40	15	41	1	true	true	0	0	0.4	0.8	28	20	3	46	7	true	true	1	1	1	0	23	0	true	2	15	1	1	1	1	23	0	true	3	12	0	1	1	1	10	1	true	5	10	1	0	1	0	11	1	TRUE
17327	565203.57	560203.57	804.89019	1.53002	1.86801	2.01807	418	46.95	696	1	0	11	true	140	1.5	1.39	54	2	20	1.5	1.7	40	40	15	41	1	true	true	0	0	0.5	0.8	28	20	3	46	7	true	true	1	1	1	0	23	0	true	2	15	1	1	1	1	23	0	true	3	12	0	1	1	1	10	1	true	5	4	1	0	1	0	11	1	TRUE
16432	561709.22	556709.22	804.49309	1.51484	1.85736	2.00641	417	46.90	692	1	0	11	true	140	1.5	1.33	54	2.1	20	1.5	1.7	38	40	15	41	1	true	true	0	0	0.5	0.8	28	20	3	46	7	true	true	1	1	1	0	23	0	true	2	15	1	1	1	1	23	0	true	3	12	0	1	1	1	10	1	true	5	10	1	0	1	0	11	1	TRUE
19657	553603.51	548603.51	643.14597	1.40932	1.65124	2.04273	430	42.54	853	1	0	11	true	121	1.5	1.36	51	0.5	21	1.5	1.7	38	40	15	41	1	true	true	0	0	0.5	0.8	28	20	3	46	7	true	true	0	1	1	0	19	0	true	2	15	1	1	1	1	18	0	true	3	5	0	1	1	1	10	1	true	5	4	1	0	1	0	10	1	TRUE
15344	459551.88	454551.88	544.37351	1.44436	2.11030	2.05632	429	41.03	835	1	0	11	true	140	1.1	1.33	54	0.5	20	1.5	1.8	40	40	15	41	1	true	true	0	0	0.5	0.8	24	20	3	46	7	true	true	0	1	1	0	23	0	true	2	15	1	1	1	1	23	0	true	10	1	1	1	1	1	10	1	true	5	10	1	0	1	0	11	1	TRUE
15913	441342.05	436342.05	497.53940	1.33906	1.32616	1.98924	432	45.05	877	1	0	11	true	140	1.5	1.33	51	0.5	32	1.5	1.8	40	40	15	41	1	true	true	0	0	0.5	0.8	28	20	3	46	7	true	true	0	1	1	0	23	0	true	2	20	1	1	1	1	23	0	true	3	12	0	1	1	1	10	1	true	5	10	1	0	1	0	11	1	TRUE
15723	399611.57	394611.57	422.94916	1.38452	1.69846	2.04639	436	44.03	933	1	0	11	true	140	2.2	1.33	54	0.5	20	1.5	2.3	40	40	15	41	1	true	true	0	0	0.5	0.8	24	20	3	46	7	true	true	0	1	1	0	23	0	true	2	20	1	1	1	1	23	0	true	3	12	0	1	1	1	10	1	true	5	10	1	0	1	0	11	1	TRUE
14945	342774.04	337774.04	481.84599	1.48896	1.81853	2.03475	418	40.56	701	1	0	11	true	140	1.5	1.33	99	0.8	17	1.5	1.8	40	40	15	41	1	true	true	0	0	0.5	0.8	24	20	3	46	7	true	true	0	1	1	1	24	0	true	2	20	1	1	1	1	23	0	true	10	1	1	1	1	1	10	1	true	5	10	1	0	1	0	11	1	TRUE
