Pass,Result,Profit,Expected Payoff,Profit Factor,Recovery Factor,Sharpe Ratio,Custom,Equity DD %,Trades,Inp_IchimokuFilter_Enabled,InpRange3_Execution_Timeframe,InpRange3_TrendFilter_Timeframe,InpRange3_ATR_Period,InpRange3_ATR_Multiplier,InpRange3_SL_ATR_Period,InpRange3_SL_ATR_Multiplier,InpRange3_Trailing_ATR_Period,InpRange3_Trailing_ATR_Multiplier,InpRange3_RR_Ratio,InpRange3_PartialClosePercent
3906,15591.00,93.73,5.51353,3.36393,2.14633,4.16508,15591,0.85,17,true,16408,6,84,1.56,100,2.4,33,2.9,13.2,16
3911,15591.00,93.73,5.51353,3.36393,2.14633,4.16508,15591,0.85,17,true,16408,6,84,1.56,99,2.4,85,1.6,7.35,25
3778,15591.00,93.73,5.51353,3.36393,2.14633,4.16508,15591,0.85,17,true,16408,6,84,1.56,99,2.4,105,2.7,12.45,39
3689,15591.00,93.73,5.51353,3.36393,2.14633,4.16508,15591,0.85,17,true,16408,6,84,1.56,99,2.4,117,2.4,6.3,35
3732,15591.00,93.73,5.51353,3.36393,2.14633,4.16508,15591,0.85,17,true,16408,6,84,1.56,99,2.4,19,2.9,14.4,44
3769,15591.00,93.73,5.51353,3.36393,2.14633,4.16508,15591,0.85,17,true,16408,6,84,1.56,100,2.4,89,1.6,12,16
3663,15591.00,93.73,5.51353,3.36393,2.14633,4.16508,15591,0.85,17,true,16408,6,84,1.56,99,2.4,123,1.6,7.35,25
3489,15591.00,93.73,5.51353,3.36393,2.14633,4.16508,15591,0.85,17,true,16408,6,84,1.56,100,2.4,85,2.9,13.35,16
3462,15591.00,93.73,5.51353,3.36393,2.14633,4.16508,15591,0.85,17,true,16408,6,84,1.56,99,2.4,126,1.8,6.6,35
3487,15591.00,93.73,5.51353,3.36393,2.14633,4.16508,15591,0.85,17,true,16408,6,84,1.56,99,2.4,114,2.8,8.7,34
3473,15591.00,93.73,5.51353,3.36393,2.14633,4.16508,15591,0.85,17,true,16408,6,84,1.56,13,2.4,126,1,6.6,25
3278,15591.00,93.73,5.51353,3.36393,2.14633,4.16508,15591,0.85,17,true,16408,6,84,1.56,45,2.4,92,1.6,7.35,25
2993,15591.00,93.73,5.51353,3.36393,2.14633,4.16508,15591,0.85,17,true,16408,6,84,1.56,99,2.4,123,1.7,6.6,35
2869,15591.00,93.73,5.51353,3.36393,2.14633,4.16508,15591,0.85,17,true,16408,6,84,1.56,13,2.4,92,1.6,7.35,25
6085,14528.00,91.23,6.51643,3.55833,2.29972,2.98331,14528,0.79,14,true,16408,6,68,1.68,63,1.95,128,2.7,13.35,21
5805,14528.00,91.23,6.51643,3.55833,2.29972,2.98331,14528,0.79,14,true,16408,6,68,1.68,64,1.95,128,2.7,13.35,21
5408,14528.00,91.23,6.51643,3.55833,2.29972,2.98331,14528,0.79,14,true,16408,6,68,1.68,68,1.95,128,2.7,13.35,21
